timestamp,emg_ch1,emg_ch2,emg_ch3,emg_ch4,emg_ch5,emg_ch6,emg_ch7,emg_ch8,unity_val0,unity_val1,unity_val2,unity_val3,unity_val4,unity_val5,unity_val6,unity_val7,unity_val8,unity_val9,unity_val10,unity_val11,unity_val12,unity_val13,unity_val14,unity_val15,unity_val16,unity_val17,unity_val18,unity_val19,unity_val20,unity_val21,unity_val22,unity_val23,unity_val24,unity_val25,unity_val26,unity_val27,unity_val28,unity_val29,unity_val30,unity_val31,unity_val32,unity_val33,unity_val34,unity_val35,unity_val36,unity_val37,unity_val38,unity_val39,unity_val40,unity_val41,unity_val42,unity_val43,unity_val44,unity_val45,unity_val46,unity_val47,unity_val48,unity_val49,unity_val50,unity_val51,unity_val52,unity_val53,unity_val54,unity_val55,unity_val56,unity_val57,unity_val58,unity_val59,unity_val60,unity_val61,unity_val62,unity_val63,unity_val64,unity_val65,unity_val66,unity_val67,unity_val68,unity_val69,unity_val70,unity_val71,unity_val72,unity_val73,unity_val74,unity_val75,unity_val76,unity_val77
1769622074.8837864,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,4.9145,nan,nan,10.477,nan,nan,5.748,nan,nan,nan,nan,nan,nan,nan,nan,6.1866,nan,nan,5.4426,nan,nan,0.9863,nan,nan,nan,nan,nan,nan,nan,nan,10.44,nan,nan,1.4026,nan,nan,4.3649,nan,nan,nan,nan,nan,nan,nan,nan,15.0745,nan,nan,1.7096,nan,nan,10.3895,nan,nan,nan,nan,nan,41.4225,nan,nan,19.6815,nan,nan,nan,nan,nan,nan,nan,nan
1769622074.9728842,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,5.0053,nan,nan,10.3779,nan,nan,5.7901,nan,nan,nan,nan,nan,nan,nan,nan,6.0534,nan,nan,5.5029,nan,nan,1.0258,nan,nan,nan,nan,nan,nan,nan,nan,10.3484,nan,nan,1.5959,nan,nan,4.4884,nan,nan,nan,nan,nan,nan,nan,nan,15.0963,nan,nan,2.233,nan,nan,10.3712,nan,nan,nan,nan,nan,41.2784,nan,nan,20.2053,nan,nan,nan,nan,nan,nan,nan,nan
1769622075.0658941,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,5.1357,nan,nan,10.3792,nan,nan,5.8169,nan,nan,nan,nan,nan,nan,nan,nan,6.01,nan,nan,5.6086,nan,nan,1.0249,nan,nan,nan,nan,nan,nan,nan,nan,10.3606,nan,nan,1.7748,nan,nan,4.4092,nan,nan,nan,nan,nan,nan,nan,nan,15.0815,nan,nan,2.0407,nan,nan,10.2787,nan,nan,nan,nan,nan,41.2016,nan,nan,20.9728,nan,nan,nan,nan,nan,nan,nan,nan
1769622075.1770372,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,5.3309,nan,nan,10.3425,nan,nan,5.8411,nan,nan,nan,nan,nan,nan,nan,nan,5.9217,nan,nan,5.4155,nan,nan,1.014,nan,nan,nan,nan,nan,nan,nan,nan,10.38,nan,nan,1.5692,nan,nan,4.4543,nan,nan,nan,nan,nan,nan,nan,nan,15.1685,nan,nan,2.0174,nan,nan,10.2046,nan,nan,nan,nan,nan,41.3709,nan,nan,21.3953,nan,nan,nan,nan,nan,nan,nan,nan
1769622075.2742882,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,5.57,nan,nan,10.413,nan,nan,5.8163,nan,nan,nan,nan,nan,nan,nan,nan,6.1336,nan,nan,5.2563,nan,nan,0.8663,nan,nan,nan,nan,nan,nan,nan,nan,10.5242,nan,nan,1.2983,nan,nan,4.4763,nan,nan,nan,nan,nan,nan,nan,nan,15.0843,nan,nan,1.8673,nan,nan,10.2166,nan,nan,nan,nan,nan,41.2957,nan,nan,21.5137,nan,nan,nan,nan,nan,nan,nan,nan
1769622075.3775613,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,5.9379,nan,nan,10.6328,nan,nan,5.7941,nan,nan,nan,nan,nan,nan,nan,nan,6.1845,nan,nan,5.1113,nan,nan,0.794,nan,nan,nan,nan,nan,nan,nan,nan,10.5421,nan,nan,1.2955,nan,nan,4.3752,nan,nan,nan,nan,nan,nan,nan,nan,15.0024,nan,nan,1.5968,nan,nan,10.2251,nan,nan,nan,nan,nan,41.5723,nan,nan,21.7811,nan,nan,nan,nan,nan,nan,nan,nan
1769622075.4570303,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,6.179,nan,nan,10.9034,nan,nan,5.86,nan,nan,nan,nan,nan,nan,nan,nan,6.1526,nan,nan,5.0915,nan,nan,0.8435,nan,nan,nan,nan,nan,nan,nan,nan,10.5371,nan,nan,1.2439,nan,nan,4.2267,nan,nan,nan,nan,nan,nan,nan,nan,14.999,nan,nan,1.6813,nan,nan,10.2386,nan,nan,nan,nan,nan,42.0007,nan,nan,21.9569,nan,nan,nan,nan,nan,nan,nan,nan
1769622075.5469282,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,7.6338,nan,nan,10.9352,nan,nan,5.511,nan,nan,nan,nan,nan,nan,nan,nan,6.1598,nan,nan,4.646,nan,nan,1.1427,nan,nan,nan,nan,nan,nan,nan,nan,10.6088,nan,nan,1.3135,nan,nan,4.1108,nan,nan,nan,nan,nan,nan,nan,nan,15.0149,nan,nan,1.9899,nan,nan,10.2549,nan,nan,nan,nan,nan,41.8744,nan,nan,22.9535,nan,nan,nan,nan,nan,nan,nan,nan
1769622075.6406326,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,10.2985,nan,nan,11.1369,nan,nan,5.2818,nan,nan,nan,nan,nan,nan,nan,nan,6.676,nan,nan,4.3476,nan,nan,1.4266,nan,nan,nan,nan,nan,nan,nan,nan,10.7037,nan,nan,1.7087,nan,nan,3.9008,nan,nan,nan,nan,nan,nan,nan,nan,15.1826,nan,nan,2.4546,nan,nan,9.7479,nan,nan,nan,nan,nan,41.6599,nan,nan,23.0247,nan,nan,nan,nan,nan,nan,nan,nan
1769622075.748359,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,17.3284,nan,nan,15.5974,nan,nan,4.5183,nan,nan,nan,nan,nan,nan,nan,nan,7.5481,nan,nan,3.5921,nan,nan,1.3799,nan,nan,nan,nan,nan,nan,nan,nan,10.8912,nan,nan,2.3035,nan,nan,4.2398,nan,nan,nan,nan,nan,nan,nan,nan,15.7419,nan,nan,1.9125,nan,nan,9.5868,nan,nan,nan,nan,nan,41.3454,nan,nan,22.84,nan,nan,nan,nan,nan,nan,nan,nan
